11111111133333333330
100000001110 100000001110
110000000000 110000000000
1000001110000 1000001110000
1010000000000 1010000000000
10001110000000 10001110000000
10010000000000 10010000000000
100000000001010 100000000001010
100000000000100 100000000000100
1000000000000110 1000000000000110
1000000000001000 1000000000001000
10000000001010000 10000000001010000
10000000000100000 10000000000100000
100000000000110000 100000000000110000
100000000001000000 100000000001000000
1000000001010000000 1000000001010000000
1000000000100000000 1000000000100000000
10000000000110000000 10000000000110000000
10000000001000000000 10000000001000000000
10 10
10 10
100 100
100 100
1000 1000
1000 1000
10000 10000
10000 10000
100000 100000
100000 100000
1000000 1000000
1000000 1000000
10000000 10000000
10000000 10000000
100000000 100000000
100000000 100000000
1000000000 1000000000
1000000000 1000000000
10000000000 10000000000
10000000000 10000000000
$
brute force:
	[10000000001000000000, 1000000001010000000, 100000000001000000, 10000000001010000, 1000000000000110, 100000000001010, 10001110000000, 1000001110000, 110000000000, 10000000000, 10000000000, 100000000, 100000000, 10000000, 100000, 100000, 10000, 1000, 1000, 100, 100, 10]
huristic:
	[10000000001000000000, 1000000001010000000, 100000000001000000, 10000000001010000, 1000000000000110, 100000000001010, 10001110000000, 1000001110000, 110000000000, 10000000000, 10000000000, 100000000, 100000000, 10000000, 100000, 100000, 10000, 1000, 1000, 100, 100, 10]
